212	3	13	81	229	96	
213	3	96	229	230	95	
214	3	95	230	231	94	
215	3	94	231	232	93	
216	3	93	232	92	16	
217	3	81	82	233	229	
218	3	229	233	234	230	
219	3	230	234	235	231	
220	3	231	235	236	232	
221	3	232	236	91	92	
222	3	82	83	237	233	
223	3	233	237	238	234	
224	3	234	238	239	235	
225	3	235	239	240	236	
226	3	236	240	90	91	
227	3	83	84	241	237	
228	3	237	241	242	238	
229	3	238	242	243	239	
230	3	239	243	244	240	
231	3	240	244	89	90	
232	3	84	14	85	241	
233	3	241	85	86	242	
234	3	242	86	87	243	
235	3	243	87	88	244	
236	3	244	88	15	89	
